date,latitude,longitude,depth_km,magnitude,place
1962-04-12,38.022,142.789,28.0,7.3,"137 km ESE of Ishinomaki, Japan"
1961-09-01,-59.274,-26.801,129.2,7.3,South Sandwich Islands region
1961-08-19,-10.75,-70.775,612.2,7.6,"132 km W of Iñapari, Peru"
1961-07-23,-18.307,168.29,25.0,7.33,"63 km S of Port-Vila, Vanuatu"
1961-02-26,31.739,131.475,35.0,7.54,"18 km NNE of Nichinan, Japan"
1960-12-02,-24.732,-70.297,35.0,7.3,"77 km NNE of Taltal, Chile"
1960-11-20,-6.775,-80.918,15.0,7.6,"103 km WSW of Mórrope, Peru"
1960-11-01,-38.467,-75.031,20.0,7.4,"Off the coast of Araucania, Chile"
1960-06-06,-45.785,-72.889,15.0,7.7,"35 km S of Puerto Chacabuco, Chile"
1960-05-22,-38.143,-73.407,25.0,9.5,1960 Great Chilean Earthquake (Valdivia Earthquake)
1960-05-22,-38.061,-73.039,25.0,7.8,"38 km WNW of Traiguén, Chile"
1960-05-21,-37.824,-73.353,25.0,8.1,"4 km ESE of Cañete, Chile"
1960-03-20,39.869,143.228,15.0,7.95,"113 km ENE of Miyako, Japan"
1959-09-14,-28.84,-177.209,35.0,7.31,Kermadec Islands region
1959-05-04,53.257,159.732,55.0,7.9,"76 km ENE of Petropavlovsk-Kamchatsky, Russia"
1958-11-06,44.479,148.485,35.0,8.3,1958 Kuril Islands Earthquake
1958-07-26,-13.428,-69.388,612.4,7.5,"81 km SSE of Puerto Rosario de Laberinto, Peru"
1958-07-10,58.23,-136.712,10.0,7.8,"22 km W of Elfin Cove, Alaska"
1958-01-19,1.011,-79.489,27.5,7.6,near the coast of Ecuador
1957-12-17,-12.418,166.684,123.6,7.8,"186 km NNW of Sola, Vanuatu"
1957-12-04,45.189,99.368,30.0,8.1,"1957 Gobi-Altay, Mongolia Earthquake"
1957-11-29,-20.948,-66.713,232.5,7.7,"51 km W of Atocha, Bolivia"
1957-10-27,55.75,161.134,147.8,7.6,"66 km SSE of Klyuchi, Russia"
1957-09-28,-20.541,-178.349,586.6,7.4,Fiji region
1957-07-28,17.055,-99.092,37.8,7.6,"8 km ENE of Apantla, Mexico"
1957-06-27,56.177,116.409,25.0,7.4,"25 km SE of Kuanda, Russia"
1957-04-25,36.405,28.699,35.0,7.3,"34 km S of Sarigerme, Turkey"
1957-03-09,51.499,-175.626,25.0,8.6,"1957 Atka, Alaska Earthquake"
1956-07-09,36.664,25.957,20.0,7.7,"19 km SSE of Amorgós, Greece"
1956-05-23,-15.434,-178.803,419.1,7.6,"144 km SSW of Leava, Wallis and Futuna"
1956-02-18,30.206,138.102,484.1,7.3,"Izu Islands, Japan region"
1955-10-10,-5.062,152.855,20.0,7.31,"102 km SE of Kokopo, Papua New Guinea"
1955-03-31,7.658,123.157,35.0,7.37,"Mindanao, Philippines"
1955-02-27,-28.336,-175.599,15.0,7.52,Kermadec Islands region
1954-03-29,36.988,-3.612,626.2,7.8,Strait of Gibraltar
1953-12-12,-3.552,-80.636,25.0,7.32,"14 km NNE of Zorritos, Peru"
1953-11-25,34.006,141.625,25.0,7.9,"174 km SE of Katsuura, Japan"
1953-05-06,-37.093,-72.866,66.0,7.55,"23 km SE of Chiguayante, Chile"
1953-04-23,-4.449,152.868,35.0,7.38,"67 km E of Kokopo, Papua New Guinea"
1953-03-19,13.809,-61.216,128.8,7.3,"18 km WSW of Soufrière, Saint Lucia"
1953-03-18,40.175,27.648,10.0,7.3,"7 km N of Gönen, Turkey"
1952-11-04,52.623,159.779,21.6,9.0,"89 km ESE of Petropavlovsk-Kamchatsky, Russia"
1952-08-17,30.648,91.601,25.0,7.4,"101 km SSW of Nagqu, China"
1952-07-21,34.9581667,-118.998,6.0,7.5,"The 1952 Kern County, California Earthquake"
1952-03-19,9.669,127.099,15.0,7.34,"108 km ENE of Cortes, Philippines"
1952-03-04,42.084,143.899,45.0,8.1,1952 Tokachi-Oki Earthquake
1951-12-08,-34.229,57.47,15.0,7.53,South Indian Ocean
